user_id,douban_book_id,rating,time
843,26803179,3,2018-06-30
843,4238362,4,2018-06-26
843,2143732,4,2018-06-21
843,27598133,5,2018-06-13
843,26963900,4,2018-06-08
843,26758424,4,2018-06-01
843,1872158,4,2018-05-28
843,24862876,3,2018-05-26
843,10354427,3,2018-05-20
843,1017621,5,2018-05-16
843,1792668,5,2018-05-13
843,6873632,4,2018-05-02
843,4901590,4,2018-04-29
843,2079345,3,2018-04-22
843,27045129,4,2018-04-19
843,27003014,2,2018-04-14
843,3101425,5,2018-04-10
843,1277896,5,2018-04-10
843,1444242,1,2018-04-05
843,6152040,5,2018-04-02
843,2296687,4,2018-03-30
843,1027030,4,2018-03-28
843,26110579,4,2018-03-23
843,4311471,4,2018-03-22
843,3028522,4,2018-03-16
843,26834183,4,2018-03-09
843,2158976,4,2018-03-06
843,1254588,4,2018-03-03
843,1183231,3,2018-03-02
843,6793573,4,2018-02-26
843,4745949,4,2018-02-25
843,6533037,5,2018-02-18
843,6789605,5,2018-02-12
843,6148187,4,2018-02-07
843,11445548,4,2018-02-06
843,25839620,4,2018-02-02
843,25902448,5,2018-01-28
843,3815125,5,2018-01-24
843,25935941,5,2018-01-22
843,26951584,4,2018-01-21
843,21325858,4,2018-01-16
843,27010212,4,2018-01-15
843,27034254,2,2018-01-14
843,26991500,3,2018-01-14
843,27054497,3,2018-01-14
843,2333905,3,2018-01-14
843,26772731,3,2018-01-13
843,26820620,3,2018-01-13
843,3658093,4,2018-01-11
843,26758311,4,2018-01-11
843,26756741,4,2018-01-11
843,10594802,4,2018-01-10
843,1025723,3,2018-01-09
843,25872094,3,2018-01-09
843,24721230,2,2018-01-07
843,26809114,3,2018-01-06
843,3351543,4,2018-01-05
843,3908032,3,2018-01-05
843,1012611,4,2018-01-03
843,2382433,4,2018-01-02
843,26890281,3,2018-01-01
843,11580824,4,2017-12-29
843,3071717,5,2017-12-28
843,1795079,5,2017-12-28
843,26975985,4,2017-12-24
843,6781794,4,2017-12-23
843,10490401,4,2017-12-22
843,4277347,4,2017-12-19
843,5940553,4,2017-12-15
843,10456813,4,2017-12-11
843,3544376,4,2017-12-08
843,3448867,4,2017-12-02
843,26251930,1,2017-11-27
843,26906797,4,2017-11-20
843,25829693,5,2017-11-13
843,10558000,4,2017-11-09
843,26382433,3,2017-11-07
843,2036561,5,2017-11-04
843,1491239,5,2017-10-31
843,1769828,5,2017-10-30
843,1769212,5,2017-10-30
843,25912873,4,2017-10-30
843,19995918,4,2017-10-26
843,10608315,4,2017-10-24
843,24529678,4,2017-10-22
843,24257229,4,2017-10-21
843,1165173,4,2017-10-17
843,1003986,4,2017-10-17
843,1049688,3,2017-10-17
843,1050339,3,2017-10-17
843,1770782,4,2017-10-17
843,27102934,3,2017-10-15
843,1981042,4,2017-10-13
843,19967336,4,2017-10-08
843,3697494,5,2017-10-06
843,20428302,5,2017-10-04
843,4151117,4,2017-09-30
843,10554684,4,2017-09-30
843,25782520,4,2017-09-29
843,6990084,4,2017-09-28
843,4737325,4,2017-09-25
843,6710437,4,2017-09-23
843,25912076,5,2017-09-20
843,3265177,4,2017-09-20
843,3200832,3,2017-09-18
843,1036613,5,2017-09-12
843,4884218,5,2017-09-11
843,25776456,4,2017-09-06
843,26791407,3,2017-09-06
843,5347699,4,2017-09-05
843,4011670,4,2017-08-30
843,26933790,5,2017-08-28
843,26729776,4,2017-08-27
843,1077528,4,2017-08-26
843,26754330,4,2017-08-23
843,26604034,3,2017-08-23
843,4836682,5,2017-08-19
843,4217084,4,2017-08-15
843,3523041,3,2017-08-15
843,6976968,3,2017-08-03
843,4124834,3,2017-08-03
843,26942959,5,2017-08-03
843,1261153,3,2017-08-01
843,1705507,4,2017-07-31
843,25737043,5,2017-07-27
843,3808982,5,2017-07-27
843,1076654,5,2017-07-22
843,20452802,4,2017-07-15
843,6811366,4,2017-07-15
843,25751322,3,2017-07-04
843,25869117,4,2017-07-03
843,24706897,3,2017-07-01
843,1393473,5,2017-06-25
843,26253748,3,2017-06-22
843,3511129,5,2017-06-22
843,26672441,4,2017-06-20
843,26695174,4,2017-06-10
843,19977683,5,2017-06-05
843,26584734,3,2017-06-05
